"","from","to","year"
"1323",65,948,2002
"1324",66,949,2002
"1325",67,107,2002
"1326",68,293,2002
"1327",68,402,2002
"1328",68,420,2002
"1329",68,950,2002
"1330",69,97,2002
"1331",69,285,2002
"1332",69,424,2002
"1333",69,506,2002
"1334",69,595,2002
"1335",69,951,2002
"1336",69,952,2002
"1337",70,535,2002
"1338",70,587,2002
"1339",71,709,2002
"1340",72,122,2002
"1341",72,953,2002
"1342",73,954,2002
"1343",74,95,2002
"1344",74,955,2002
"1345",75,592,2002
"1346",76,956,2002
"1347",77,957,2002
"1348",78,958,2002
"1349",79,595,2002
"1350",80,152,2002
"1351",80,959,2002
"1352",80,960,2002
"1353",81,574,2002
"1354",81,681,2002
"1355",81,757,2002
"1356",81,961,2002
"1357",82,694,2002
"1358",82,962,2002
